Faculty Name,Faculty Title,Faculty ID,Department,College,Website Link
Debbra Jennings,Adjunct Faculty,0,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=dkm0091#current-teaching
Ellis E. Kirkdorffer,Adjunct Faculty,1,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=eek0036#current-teaching
Heather Treadway,Adjunct Faculty,2,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=ht0140#current-teaching
Janet L. Johnson,Adjunct Faculty,3,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=jlj0057#current-teaching
Jason L. Cooley,Adjunct Faculty,4,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=jlc0755#current-teaching
Justin Kramer,Adjunct Faculty,5,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=jk0751#current-teaching
Kevin D. Sanders,Adjunct Faculty,6,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=kds0238#current-teaching
Lalla Shackelford,Adjunct Faculty,7,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=les0254#current-teaching
Megan S. Cunningham,Adjunct Faculty,8,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=msc0197#current-teaching
Michael A. Bailey,Adjunct Faculty,9,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=mab0830#current-teaching
Niraj Desai,Adjunct Faculty,10,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=nd0591#current-teaching
Robert Brown,Adjunct Faculty,11,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=rab0204#current-teaching
Trapper Pace,Adjunct Faculty,12,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=tkp0028#current-teaching
Shari M. Childers,Associate Dean,13,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=smc0322#current-teaching
Pamela K. Bracey,Chair,14,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=pks0047#current-teaching
Danielle L. Dumaine,Clinical Assistant Professor,15,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=dld0302#current-teaching
Dev Mukherjee,Clinical Assistant Professor,16,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=debasish#current-teaching
Dianne Y. Gravley,Clinical Assistant Professor,17,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=dyg0001#current-teaching
Elizabeth N. Ranieri,Clinical Assistant Professor,18,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=enr0063#current-teaching
Kelsey M. Carroll,Clinical Assistant Professor,19,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=kmc0326#current-teaching
Les Stanaland,Clinical Assistant Professor,20,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=lss0076#current-teaching
Melissa M. McKay,Clinical Assistant Professor,21,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=mmm0240#current-teaching
Miranda Williams,Clinical Assistant Professor,22,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=mw0596#current-teaching
Shomik Chakrabarti,Clinical Assistant Professor,23,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=sc2523#current-teaching
Adam Guerrero,Clinical Associate Professor,24,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=ag2345#current-teaching
Agustin Palao Mendizabal,Clinical Associate Professor,25,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=apm0166#current-teaching
Bill T. Morgan,Clinical Associate Professor,26,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=bm0215#current-teaching
Curtis Williams,Clinical Associate Professor,27,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=cw0800#current-teaching
LeeAnn Derdeyn,Clinical Associate Professor,28,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=ld1099#current-teaching
Magdalena Grohman,Clinical Associate Professor,29,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=mgg0157#current-teaching
Rochelle Gregory,Clinical Associate Professor,30,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=rdg0188#current-teaching
